ID,Rating,Votes,Title,author,publisher,pub_year,pages,price,binding,isbn,original_title,translator,subtitle,series,crawl_status,price_num,price_tier
2216583,8.8,3926,沉重的肉身,刘小枫,华夏出版社,2007-7,328,29.00元,平装,9787508043005.0,刘小枫随笔集,,,刘小枫集,success,29.0,20-30
27080432,8.9,3925,小姨多鹤,严歌苓,作家出版社,2016-8-1,335,29.00,平装,9787506390507.0,,,,严歌苓长篇精品,success,29.0,20-30
2165063,9.2,3924,纳尔齐斯与歌尔德蒙,[德]赫尔曼·黑塞,上海译文出版社,2007-7,331,23.00,平装,9787532742295.0,,杨武能,,黑塞文集,success,23.0,20-30
26888402,9.1,3921,城南旧事,林海音,云南人民出版社,2016-10,,32.00元,平装,9787222147843.0,,,,,success,32.0,30-40
1340986,7.6,3919,你睡不著我受不了,蔡康永,平安文化,1995-8-17,213,NT$ 150,,9789578030459.0,,,,,success,150.0,100-200
26288883,7.8,3919,动物凶猛,王朔,北京十月文艺出版社,2015-3,302,35.00元,精装,9787530213636.0,,,,王朔作品精选,success,35.0,30-40
25660015,6.7,3918,以自己喜欢的方式过一生,林特特,江苏文艺出版社,2013-8-15,256,32.80元·,平装,9787539963792.0,,有2014年6月2印本,,在白云外,success,32.8,30-40
1212469,8.9,3917,荷马史诗·伊利亚特,[古希腊] 荷马,人民文学出版社,2003-1-1,625,22.00,平装,9787020038855.0,Ἰλιάς,罗念生 / 王焕生,,名著名译插图本,success,22.0,20-30
2567730,8.7,3917,我只能为你画一张小卡片,幾米,人民文学出版社,2007-11,115,23.00元,平装,9787020062850.0,,,,幾米作品集,success,23.0,20-30
3088496,7.5,3915,HANA,hansey 主编,上海人民出版社,2008-5,229,15.00,平装48开,9787208077539.0,,,,HANA,success,15.0,<20
3244665,8.4,3913,盗墓笔记之1：七星鲁王宫,南派三叔,普天出版社,2007-09,301,199元,,9789866857577.0,,,,盗墓笔记台版,success,199.0,100-200
4072044,8.1,3913,微笑的咖啡杯,慕容引刀,上海人民出版社,2009-10,107,25.00元,平装,9787208088436.0,,,,慕容引刀的刀刀丛书,success,25.0,20-30
27042830,8.5,3913,幽灵,[挪] 尤·奈斯博,湖南文艺出版社,2017-6-10,464,42.00元,平装,9787540480790.0,Gjenferd,林立仁,,“哈利·霍勒警探”系列,success,42.0,40-50
1035862,8.5,3912,人生,路遥,时代文艺出版社,2000-08,586,26.00,平装,9787538702712.0,,,,,success,26.0,20-30
26352002,8.3,3912,怨氣撞鈴4·黑蝶,尾魚,聯合文學,2015-4-13,384,NTD 250,平装,9789863231073.0,,,,怨气撞铃,success,250.0,>200
27167992,8.1,3911,见识,吴军,中信出版社,2017-10,425,78.00元,精装,9787508682235.0,,,,,success,78.0,70-100
26599256,8.1,3911,死神的精确度,[日] 伊坂幸太郎,南海出版公司,2015-10,256,39.50元,精装,9787544279864.0,死神の精度,星野空,,新经典·伊坂幸太郎作品,success,39.5,30-40
1318427,7.7,3910,蓝海战略,[韩] W.钱·金 / [美] 勒妮·莫博涅,商务印书馆,2005-5,264,38.00元,平装16开,9787100044523.0,Blue Ocean Strategy,吉宓,,,success,38.0,30-40
1000323,7.7,3910,电视人,[日] 村上春树,上海译文出版社,2002-12,134,12.00元,平装,9787532729951.0,,林少华,,村上春树文集（2001版）,success,12.0,<20
